set	oracle_id	name	type_line	index	parent_index	depth	face	line	kind	role	source	rule	text	normalized	boundary	missed	kind_expected	kind_ok	role_ok	source_ok	context	cr_ref	structure_tags	norm_issue	disposition	annotator	note
arn	88929373-b2c8-4a81-a809-fed87fd5b0d7	Dandân	Creature — Fish	1		0	0	2	triggered_ability	ability	printed		When you control no Islands, sacrifice this creature.	When you control no Islands, sacrifice ~.	ok	0	triggered_ability	yes	yes	yes	none	603.8	state_trigger	fragmentation:land_type	accept	fable-pass1	
arn	195107ad-879d-4b02-a44a-a3ba70fedf88	Desert	Land — Desert	0		0	0	1	activated_ability	ability	printed		{T}: Add {C}.	{M}: Add {M}.	ok	0	activated_ability	yes	yes	yes	none			collision:tap_as_mana	accept	fable-pass1	
arn	195107ad-879d-4b02-a44a-a3ba70fedf88	Desert	Land — Desert	1		0	0	2	activated_ability	ability	printed		{T}: This land deals 1 damage to target attacking creature. Activate only during the end of combat step.	{M}: ~ deals N damage to target attacking creature. Activate only during the end of combat step.	ok	0	activated_ability	yes	yes	yes	none	602.1b	activation_instruction;multi_sentence	collision:tap_as_mana	accept	fable-pass1	
arn	3247fca3-7458-47ee-875b-c55f2a3e2962	Desert Nomads	Creature — Human Nomad	0		0	0	1	keyword_ability	ability	printed		Desertwalk	Desertwalk	ok	0	keyword_ability	yes	yes	yes	cr	702.14	keyword		accept	fable-pass1	
arn	3247fca3-7458-47ee-875b-c55f2a3e2962	Desert Nomads	Creature — Human Nomad	1		0	0	2	spell_or_static_text	ability	printed		Prevent all damage that would be dealt to this creature by Deserts.	Prevent all damage that would be dealt to ~ by Deserts.	ok	0	gap:prevention	no	yes	yes	cr	615.1a;604.1	prevention_static		unsupported	fable-pass1	Static prevention effect (F7 class).
arn	6f880348-6dc8-4cf8-9313-9893c41a70a3	Desert Twister	Sorcery	0		0	0	1	spell_or_static_text	ability	printed		Destroy target permanent.	Destroy target permanent.	ok	0	spell_or_static_text	yes	yes	yes	none				accept	fable-pass1	
arn	84cef34a-c3e1-4059-b4cd-c481938a53a5	Diamond Valley	Land	0		0	0	1	activated_ability	ability	printed		{T}, Sacrifice a creature: You gain life equal to the sacrificed creature's toughness.	{M}, Sacrifice a creature: You gain life equal to the sacrificed creature's toughness.	ok	0	activated_ability	yes	yes	yes	none			collision:tap_as_mana	accept	fable-pass1	
arn	383e9005-5869-4d1d-917d-30e5f214fbd9	Drop of Honey	Enchantment	0		0	0	1	triggered_ability	ability	printed		At the beginning of your upkeep, destroy the creature with the least power. It can't be regenerated. If two or more creatures are tied for least power, you choose one of them.	At the beginning of your upkeep, destroy the creature with the least power. It can't be regenerated. If two or more creatures are tied for least power, you choose one of them.	ok	0	triggered_ability	yes	yes	yes	none		multi_sentence;tie_instruction		accept	fable-pass1	
arn	383e9005-5869-4d1d-917d-30e5f214fbd9	Drop of Honey	Enchantment	1		0	0	2	triggered_ability	ability	printed		When there are no creatures on the battlefield, sacrifice this enchantment.	When there are no creatures on the battlefield, sacrifice ~.	ok	0	triggered_ability	yes	yes	yes	none	603.8	state_trigger		accept	fable-pass1	
arn	4eb67ba3-35e3-47c3-820f-62814cf202a7	Ebony Horse	Artifact	0		0	0	1	activated_ability	ability	printed		{2}, {T}: Untap target attacking creature you control. Prevent all combat damage that would be dealt to and dealt by that creature this turn.	{M}, {M}: Untap target attacking creature you control. Prevent all combat damage that would be dealt to and dealt by that creature this turn.	ok	0	activated_ability	yes	yes	yes	none		multi_sentence;prevention_in_effect	collision:tap_as_mana	accept	fable-pass1	
arn	f92c9a5d-853f-4157-89ba-8d8c8033c533	El-Hajjâj	Creature — Human Wizard	0		0	0	1	triggered_ability	ability	printed		Whenever this creature deals damage, you gain that much life.	Whenever ~ deals damage, you gain that much life.	ok	0	triggered_ability	yes	yes	yes	none				accept	fable-pass1	
arn	8ada7388-fd8b-434c-a17a-bce19cf3e615	Elephant Graveyard	Land	0		0	0	1	activated_ability	ability	printed		{T}: Add {C}.	{M}: Add {M}.	ok	0	activated_ability	yes	yes	yes	none			collision:tap_as_mana	accept	fable-pass1	
arn	8ada7388-fd8b-434c-a17a-bce19cf3e615	Elephant Graveyard	Land	1		0	0	2	activated_ability	ability	printed		{T}: Regenerate target Elephant.	{M}: Regenerate target Elephant.	ok	0	activated_ability	yes	yes	yes	none			collision:tap_as_mana	accept	fable-pass1	
arn	7feba745-7d27-4225-bc9d-9b7a8692872d	Erg Raiders	Creature — Human Warrior	0		0	0	1	triggered_ability	ability	printed		At the beginning of your end step, if this creature didn't attack this turn, it deals 2 damage to you unless it came under your control this turn.	At the beginning of your end step, if ~ didn't attack this turn, it deals N damage to you unless it came under your control this turn.	ok	0	triggered_ability	yes	yes	yes	none	603.4	intervening_if		accept	fable-pass1	
arn	d48a38c9-3dcd-4c18-8840-1b057ede3ff0	Erhnam Djinn	Creature — Djinn	0		0	0	1	triggered_ability	ability	printed		At the beginning of your upkeep, target non-Wall creature an opponent controls gains forestwalk until your next upkeep.	At the beginning of your upkeep, target non-Wall creature an opponent controls gains forestwalk until your next upkeep.	ok	0	triggered_ability	yes	yes	yes	none			fragmentation:land_type	accept	fable-pass1	
arn	22647b1a-5a7c-41b5-b820-b2e9f49c7aad	Eye for an Eye	Instant	0		0	0	1	replacement_effect	ability	printed		The next time a source of your choice would deal damage to you this turn, instead that source deals that much damage to you and Eye for an Eye deals that much damage to that source's controller.	The next time a source of your choice would deal damage to you this turn, instead that source deals that much damage to you and ~ deals that much damage to that source's controller.	ok	0	spell_or_static_text	no	yes	yes	type_line	113.3a;614.1a	instead_in_spell;self_reference_name		defect	fable-pass1	Instant: spell ability creating a replacement effect; lexical 'instead' misfires (same class as Disintegrate, F5).
arn	75457fe5-4ab6-42c4-98e5-8ed6e8bf122c	Fishliver Oil	Enchantment — Aura	0		0	0	1	keyword_ability	ability	printed		Enchant creature	Enchant creature	ok	0	keyword_ability	yes	yes	yes	cr	702.5	keyword	fragmentation:object_type	accept	fable-pass1	
arn	75457fe5-4ab6-42c4-98e5-8ed6e8bf122c	Fishliver Oil	Enchantment — Aura	1		0	0	2	spell_or_static_text	ability	printed		Enchanted creature has islandwalk.	Enchanted creature has islandwalk.	ok	0	spell_or_static_text	yes	yes	yes	none			fragmentation:land_type	accept	fable-pass1	
arn	453524fb-2ffa-421f-883c-b77ae2850c52	Flying Carpet	Artifact	0		0	0	1	activated_ability	ability	printed		{2}, {T}: Target creature gains flying until end of turn.	{M}, {M}: Target creature gains flying until end of turn.	ok	0	activated_ability	yes	yes	yes	none			collision:tap_as_mana	accept	fable-pass1	
arn	b5666c68-059d-4e32-9b04-548b3058430d	Flying Men	Creature — Human	0		0	0	1	keyword_ability	ability	printed		Flying	Flying	ok	0	keyword_ability	yes	yes	yes	cr	702.9	keyword		accept	fable-pass1	
arn	d361bdd4-afb8-493d-9091-ebe22f215834	Ghazbán Ogre	Creature — Ogre	0		0	0	1	triggered_ability	ability	printed		At the beginning of your upkeep, if a player has more life than each other player, the player with the most life gains control of this creature.	At the beginning of your upkeep, if a player has more life than each other player, the player with the most life gains control of ~.	ok	0	triggered_ability	yes	yes	yes	none	603.4	control_change;intervening_if		accept	fable-pass1	
arn	2dd50d7f-941f-4deb-a15c-ee2357844c35	Giant Tortoise	Creature — Turtle	0		0	0	1	spell_or_static_text	ability	printed		This creature gets +0/+3 as long as it's untapped.	~ gets +N/+N as long as it's untapped.	ok	0	spell_or_static_text	yes	yes	yes	none		conditional_static		accept	fable-pass1	
arn	34c3aebe-a224-426a-ae06-f3145193313e	Guardian Beast	Creature — Beast	0		0	0	1	spell_or_static_text	ability	printed		As long as this creature is untapped, noncreature artifacts you control can't be enchanted, they have indestructible, and other players can't gain control of them. This effect doesn't remove Auras already attached to those artifacts.	As long as ~ is untapped, noncreature artifacts you control can't be enchanted, they have indestructible, and other players can't gain control of them. This effect doesn't remove Auras already attached to those artifacts.	ok	0	spell_or_static_text	yes	yes	yes	none		conditional_static;multi_sentence		accept	fable-pass1	
arn	a57d4a9d-4ac5-4a68-adb9-a73754034d7c	Hasran Ogress	Creature — Ogre	0		0	0	1	triggered_ability	ability	printed		Whenever this creature attacks, it deals 3 damage to you unless you pay {2}.	Whenever ~ attacks, it deals N damage to you unless you pay {M}.	ok	0	triggered_ability	yes	yes	yes	none				accept	fable-pass1	
arn	d17f5afa-a884-4b99-aa9e-89ddb3d43b22	Hurr Jackal	Creature — Jackal	0		0	0	1	activated_ability	ability	printed		{T}: Target creature can't be regenerated this turn.	{M}: Target creature can't be regenerated this turn.	ok	0	activated_ability	yes	yes	yes	none			collision:tap_as_mana	accept	fable-pass1	
arn	e503a4f2-a785-4e7a-89a7-a9b24fb98831	Ifh-Bíff Efreet	Creature — Efreet	0		0	0	1	keyword_ability	ability	printed		Flying	Flying	ok	0	keyword_ability	yes	yes	yes	cr	702.9	keyword		accept	fable-pass1	
arn	e503a4f2-a785-4e7a-89a7-a9b24fb98831	Ifh-Bíff Efreet	Creature — Efreet	1		0	0	2	activated_ability	ability	printed		{G}: This creature deals 1 damage to each creature with flying and each player. Any player may activate this ability.	{M}: ~ deals N damage to each creature with flying and each player. Any player may activate this ability.	ok	0	activated_ability	yes	yes	yes	none	602.1b	activation_instruction;multi_sentence		accept	fable-pass1	'Any player may activate this ability' names who may activate (602.1b); 42 corpus hits, all instructions.
arn	bb217f12-532f-4833-a27a-99e290aa47d0	Island Fish Jasconius	Creature — Fish	0		0	0	1	spell_or_static_text	ability	printed		This creature doesn't untap during your untap step.	~ doesn't untap during your untap step.	ok	0	spell_or_static_text	yes	yes	yes	none				accept	fable-pass1	
arn	bb217f12-532f-4833-a27a-99e290aa47d0	Island Fish Jasconius	Creature — Fish	1		0	0	2	triggered_ability	ability	printed		At the beginning of your upkeep, you may pay {U}{U}{U}. If you do, untap this creature.	At the beginning of your upkeep, you may pay {M}{M}{M}. If you do, untap ~.	ok	0	triggered_ability	yes	yes	yes	none		multi_sentence;optional_payment		accept	fable-pass1	
arn	bb217f12-532f-4833-a27a-99e290aa47d0	Island Fish Jasconius	Creature — Fish	2		0	0	3	spell_or_static_text	ability	printed		This creature can't attack unless defending player controls an Island.	~ can't attack unless defending player controls an Island.	ok	0	spell_or_static_text	yes	yes	yes	none			fragmentation:land_type	accept	fable-pass1	
arn	bb217f12-532f-4833-a27a-99e290aa47d0	Island Fish Jasconius	Creature — Fish	3		0	0	4	triggered_ability	ability	printed		When you control no Islands, sacrifice this creature.	When you control no Islands, sacrifice ~.	ok	0	triggered_ability	yes	yes	yes	none	603.8	state_trigger	fragmentation:land_type	accept	fable-pass1	
arn	d427e61d-5b30-4d2a-bad2-2e7f016036ca	Island of Wak-Wak	Land	0		0	0	1	activated_ability	ability	printed		{T}: Target creature with flying has base power 0 until end of turn.	{M}: Target creature with flying has base power N until end of turn.	ok	0	activated_ability	yes	yes	yes	none			collision:tap_as_mana	accept	fable-pass1	
arn	737db899-dcdb-48f9-8d30-cbbce3ae3434	Jandor's Ring	Artifact	0		0	0	1	activated_ability	ability	printed		{2}, {T}, Discard the last card you drew this turn: Draw a card.	{M}, {M}, Discard the last card you drew this turn: Draw a card.	ok	0	activated_ability	yes	yes	yes	none			collision:tap_as_mana	accept	fable-pass1	
arn	3aa0e73f-ac88-47a5-9cc5-0c941a939eae	Jandor's Saddlebags	Artifact	0		0	0	1	activated_ability	ability	printed		{3}, {T}: Untap target creature.	{M}, {M}: Untap target creature.	ok	0	activated_ability	yes	yes	yes	none			collision:tap_as_mana	accept	fable-pass1	
arn	89f5b21c-18da-4071-bc42-9cdc433734bf	Jeweled Bird	Artifact	0		0	0	1	ante_instruction	ability	printed		Remove this card from your deck before playing if you're not playing for ante.	Remove ~ from your deck before playing if you're not playing for ante.	ok	0	ante_instruction	yes	yes	yes	none	407.3	ante		accept	fable-pass1	Not an ability (407.3).
arn	89f5b21c-18da-4071-bc42-9cdc433734bf	Jeweled Bird	Artifact	1		0	0	2	activated_ability	ability	printed		{T}: Ante this artifact. If you do, put all other cards you own from the ante into your graveyard, then draw a card.	{M}: Ante ~. If you do, put all other cards you own from the ante into your graveyard, then draw a card.	ok	0	activated_ability	yes	yes	yes	none	407	ante;multi_sentence	collision:tap_as_mana	accept	fable-pass1	
arn	b18b9869-8490-4875-a5bb-484c3299f2c5	Jihad	Enchantment	0		0	0	1	replacement_effect	ability	printed		As this enchantment enters, choose a color and an opponent.	As ~ enters, choose a color and an opponent.	ok	0	replacement_effect	yes	yes	yes	none	614.1c	enters_replacement;remembered_choice		accept	fable-pass1	
arn	b18b9869-8490-4875-a5bb-484c3299f2c5	Jihad	Enchantment	1		0	0	2	spell_or_static_text	ability	printed		White creatures get +2/+1 as long as the chosen player controls a nontoken permanent of the chosen color.	White creatures get +N/+N as long as the chosen player controls a nontoken permanent of the chosen color.	ok	0	spell_or_static_text	yes	yes	yes	none		conditional_static;remembered_choice	fragmentation:color_word	accept	fable-pass1	
arn	b18b9869-8490-4875-a5bb-484c3299f2c5	Jihad	Enchantment	2		0	0	3	triggered_ability	ability	printed		When the chosen player controls no nontoken permanents of the chosen color, sacrifice this enchantment.	When the chosen player controls no nontoken permanents of the chosen color, sacrifice ~.	ok	0	triggered_ability	yes	yes	yes	none	603.8	remembered_choice;state_trigger		accept	fable-pass1	
arn	afda663e-c5f7-4182-86f7-d95d71793717	Junún Efreet	Creature — Efreet	0		0	0	1	keyword_ability	ability	printed		Flying	Flying	ok	0	keyword_ability	yes	yes	yes	cr	702.9	keyword		accept	fable-pass1	
arn	afda663e-c5f7-4182-86f7-d95d71793717	Junún Efreet	Creature — Efreet	1		0	0	2	triggered_ability	ability	printed		At the beginning of your upkeep, sacrifice this creature unless you pay {B}{B}.	At the beginning of your upkeep, sacrifice ~ unless you pay {M}{M}.	ok	0	triggered_ability	yes	yes	yes	none				accept	fable-pass1	
arn	4e81596c-9225-43d1-bd35-798212144f2c	Juzám Djinn	Creature — Djinn	0		0	0	1	triggered_ability	ability	printed		At the beginning of your upkeep, this creature deals 1 damage to you.	At the beginning of your upkeep, ~ deals N damage to you.	ok	0	triggered_ability	yes	yes	yes	none				accept	fable-pass1	
arn	cb558dda-0c05-426d-aedc-bc07cc54db76	Khabál Ghoul	Creature — Zombie	0		0	0	1	triggered_ability	ability	printed		At the beginning of each end step, put a +1/+1 counter on this creature for each creature that died this turn.	At the beginning of each end step, put a +N/+N counter on ~ for each creature that died this turn.	ok	0	triggered_ability	yes	yes	yes	none		counter_each		accept	fable-pass1	
arn	97f548b1-6398-4dc7-b5eb-da5a3f24ddb7	King Suleiman	Creature — Human Noble	0		0	0	1	activated_ability	ability	printed		{T}: Destroy target Djinn or Efreet.	{M}: Destroy target Djinn or Efreet.	ok	0	activated_ability	yes	yes	yes	none			collision:tap_as_mana	accept	fable-pass1	
arn	fbbc3acb-c917-44ff-ac6f-9dd6ebe3f4ad	Kird Ape	Creature — Ape	0		0	0	1	spell_or_static_text	ability	printed		This creature gets +1/+2 as long as you control a Forest.	~ gets +N/+N as long as you control a Forest.	ok	0	spell_or_static_text	yes	yes	yes	none		conditional_static	fragmentation:land_type	accept	fable-pass1	
arn	2111588d-9af5-4a33-989e-b074d83f0463	Library of Alexandria	Land	0		0	0	1	activated_ability	ability	printed		{T}: Add {C}.	{M}: Add {M}.	ok	0	activated_ability	yes	yes	yes	none			collision:tap_as_mana	accept	fable-pass1	
arn	2111588d-9af5-4a33-989e-b074d83f0463	Library of Alexandria	Land	1		0	0	2	activated_ability	ability	printed		{T}: Draw a card. Activate only if you have exactly seven cards in hand.	{M}: Draw a card. Activate only if you have exactly seven cards in hand.	ok	0	activated_ability	yes	yes	yes	none	602.1b	activation_instruction;multi_sentence	collision:tap_as_mana	accept	fable-pass1	
arn	5c28fc22-7da6-4f15-b02b-6ff10981466c	Magnetic Mountain	Enchantment	0		0	0	1	spell_or_static_text	ability	printed		Blue creatures don't untap during their controllers' untap steps.	Blue creatures don't untap during their controllers' untap steps.	ok	0	spell_or_static_text	yes	yes	yes	none			fragmentation:color_word	accept	fable-pass1	
arn	5c28fc22-7da6-4f15-b02b-6ff10981466c	Magnetic Mountain	Enchantment	1		0	0	2	triggered_ability	ability	printed		At the beginning of each player's upkeep, that player may choose any number of tapped blue creatures they control and pay {4} for each creature chosen this way. If the player does, untap those creatures.	At the beginning of each player's upkeep, that player may choose any number of tapped blue creatures they control and pay {M} for each creature chosen this way. If the player does, untap those creatures.	ok	0	triggered_ability	yes	yes	yes	none		multi_sentence;optional_payment	fragmentation:color_word	accept	fable-pass1	
arn	69556f6c-c05b-4902-bac7-012f0ed81b75	Merchant Ship	Creature — Human	0		0	0	1	spell_or_static_text	ability	printed		This creature can't attack unless defending player controls an Island.	~ can't attack unless defending player controls an Island.	ok	0	spell_or_static_text	yes	yes	yes	none			fragmentation:land_type	accept	fable-pass1	
arn	69556f6c-c05b-4902-bac7-012f0ed81b75	Merchant Ship	Creature — Human	1		0	0	2	triggered_ability	ability	printed		Whenever this creature attacks and isn't blocked, you gain 2 life.	Whenever ~ attacks and isn't blocked, you gain N life.	ok	0	triggered_ability	yes	yes	yes	none				accept	fable-pass1	
arn	69556f6c-c05b-4902-bac7-012f0ed81b75	Merchant Ship	Creature — Human	2		0	0	3	triggered_ability	ability	printed		When you control no Islands, sacrifice this creature.	When you control no Islands, sacrifice ~.	ok	0	triggered_ability	yes	yes	yes	none	603.8	state_trigger	fragmentation:land_type	accept	fable-pass1	
arn	7140d726-0136-43af-84b5-85005a66a186	Metamorphosis	Sorcery	0		0	0	1	additional_cost	ability	printed		As an additional cost to cast this spell, sacrifice a creature.	As an additional cost to cast ~, sacrifice a creature.	ok	0	additional_cost	yes	yes	yes	none	118.8;601.2b			accept	fable-pass1	Additional cost, not an ability.
arn	7140d726-0136-43af-84b5-85005a66a186	Metamorphosis	Sorcery	1		0	0	2	spell_or_static_text	ability	printed		Add X mana of any one color, where X is 1 plus the sacrificed creature's mana value. Spend this mana only to cast creature spells.	Add X mana of any one color, where X is N plus the sacrificed creature's mana value. Spend this mana only to cast creature spells.	ok	0	spell_or_static_text	yes	yes	yes	none	106.6	mana_restriction;multi_sentence		accept	fable-pass1	Spell ability producing mana with a spending restriction (106.6).
arn	61bebdfa-5df0-4952-abf9-dc5e0e4f57ea	Mijae Djinn	Creature — Djinn	0		0	0	1	triggered_ability	ability	printed		Whenever this creature attacks, flip a coin. If you lose the flip, remove this creature from combat and tap it.	Whenever ~ attacks, flip a coin. If you lose the flip, remove ~ from combat and tap it.	ok	0	triggered_ability	yes	yes	yes	none	705.1	coin_flip;multi_sentence		accept	fable-pass1	
arn	bccdc42f-9e55-4f8e-a29e-ef39f38add6a	Moorish Cavalry	Creature — Human Knight	0		0	0	1	keyword_ability	ability	printed		Trample	Trample	ok	0	keyword_ability	yes	yes	yes	cr	702.19	keyword		accept	fable-pass1	
arn	da7bc9d6-a0cc-407a-bed9-d677c2dd74f2	Nafs Asp	Creature — Snake	0		0	0	1	triggered_ability	ability	printed		Whenever this creature deals damage to a player, that player loses 1 life at the beginning of their next draw step unless they pay {1} before that draw step.	Whenever ~ deals damage to a player, that player loses N life at the beginning of their next draw step unless they pay {M} before that draw step.	under	1	triggered_ability	yes	yes	yes	cr	603.7a;603.7e	delayed_trigger_inverted;multi_clause		defect	fable-pass1	'that player loses 1 life at the beginning of their next draw step unless they pay {1} before that draw step' creates a delayed trigger (ruling: pay any time before the draw step); inverted form, not split.
